brand,model,year,price,dummy
Renault,Sandero Stepway,2021,916 000 ₽,1
Renault,Sandero Stepway,2021,916 000 ₽,1
Kia,Soul,2021,1 504 900 ₽,1
Kia,K5,2021,2 042 900 ₽,1
Mitsubishi,ASX NEW,2021,1 332 000 ₽,1
Renault,Duster NEW,2021,1 250 000 ₽,1
Kia,Carnival,2021,3 349 900 ₽,1
Уаз,Патриот New,2021,1 184 000 ₽,1
Kia,Sportage,2021,1 777 900 ₽,1
Hyundai,Solaris NEW,2021,881 000 ₽,1
Уаз,Хантер,2021,885 400 ₽,1
Lada,Granta Drive Active,2021,646 900 ₽,1
Уаз,Патриот New,2021,1 359 900 ₽,1
Peugeot,2008,2021,2 134 000 ₽,1
Kia,Sportage,2021,1 817 900 ₽,1
Lada,Vesta,2021,660 900 ₽,1
Lada,XRAY,2021,642 900 ₽,1
Уаз,Патриот New,2021,898 900 ₽,1
Kia,Soul,2021,1 809 900 ₽,1
Suzuki,Vitara,2021,1 219 000 ₽,1
Renault,Arkana,2021,1 620 000 ₽,1
Renault,Logan,2021,775 000 ₽,1
Hyundai,Creta,2021,1 267 000 ₽,1
Chery,Tiggo 4,2021,1 069 900 ₽,1
Lada,Niva Travel,2021,848 900 ₽,1
Jeep,Grand Cherokee,2021,4 265 000 ₽,1
Renault,Logan Stepway,2021,914 000 ₽,1
Lada,Vesta,2021,678 900 ₽,1
Lada,XRAY Cross,2021,745 900 ₽,1
Renault,Logan Stepway,2021,927 000 ₽,1
Lada,Niva,2020,707 000 ₽,1
Renault,Logan Stepway,2021,813 000 ₽,1
Kia,Seltos,2021,1 581 900 ₽,1
Kia,K5,2021,1 752 900 ₽,1
Уаз,Патриот New,2021,858 000 ₽,1
Citroen,C5 Aircross,2021,2 524 000 ₽,1
Suzuki,Vitara,2021,1 239 990 ₽,1
Hyundai,Santa Fe,2021,2 802 000 ₽,1
Kia,Soul,2021,1 469 900 ₽,1
Lada,Granta,2021,630 800 ₽,1
Kia,Sportage,2021,1 692 900 ₽,1
Jeep,Grand Cherokee,2021,4 235 000 ₽,1
Renault,Arkana,2021,1 407 000 ₽,1
Suzuki,SX4,2021,1 359 990 ₽,1
Lada,Niva Travel,2021,685 900 ₽,1
Kia,Rio X,2021,1 075 900 ₽,1
Kia,Seltos,2021,1 581 900 ₽,1
Kia,K5,2021,2 394 900 ₽,1
Lada,Niva Travel,2021,806 900 ₽,1
Уаз,Комби (3909),2021,780 000 ₽,1
Renault,Sandero Stepway,2021,843 000 ₽,1
Kia,Seltos,2021,1 541 900 ₽,1
Kia,Cerato,2021,1 427 900 ₽,1
Renault,Duster NEW,2021,1 365 000 ₽,1
Kia,Carnival,2021,3 349 900 ₽,1
Kia,Rio X,2021,1 094 900 ₽,1
Mitsubishi,ASX NEW,2021,1 351 000 ₽,1
Kia,Sportage,2021,1 692 900 ₽,1
Уаз,Патриот New,2021,1 319 000 ₽,1
Suzuki,Vitara,2021,1 239 990 ₽,1
Уаз,Патриот New,2021,1 264 000 ₽,1
Kia,Ceed SW,2021,1 584 900 ₽,1
Suzuki,Jimny,2021,1 919 990 ₽,1
Hyundai,H-1,2021,2 649 000 ₽,1
Suzuki,Vitara,2021,1 239 990 ₽,1
Уаз,Патриот New,2021,1 224 900 ₽,1
Уаз,Патриот New,2021,1 224 900 ₽,1
Kia,Rio X,2021,1 184 900 ₽,1
Kia,Cerato,2021,1 650 900 ₽,1
Kia,XCeed,2021,1 934 900 ₽,1
Suzuki,Jimny,2021,1 785 990 ₽,1
Hyundai,Creta,2021,1 302 000 ₽,1
Lada,XRAY Cross,2021,733 900 ₽,1
Renault,Kaptur,2021,1 248 000 ₽,1
Kia,Rio X,2021,1 129 900 ₽,1
Jeep,Grand Cherokee,2021,4 305 000 ₽,1
Lada,XRAY Cross,2021,745 900 ₽,1
Suzuki,Vitara,2021,1 589 990 ₽,1
Kia,Rio NEW,2021,1 270 900 ₽,1
Renault,Logan Stepway,2021,803 000 ₽,1
Citroen,C5 Aircross,2021,2 952 000 ₽,1
Renault,Arkana,2021,1 376 000 ₽,1
Kia,Cerato,2021,1 400 900 ₽,1
Lada,Granta универсал,2021,509 500 ₽,1
Lada,Vesta SW,2021,890 900 ₽,1
Уаз,Патриот New,2021,1 224 900 ₽,1
Suzuki,Vitara,2021,1 239 990 ₽,1
Kia,Cerato,2021,1 385 900 ₽,1
Renault,Duster NEW,2021,1 475 000 ₽,1
Renault,Sandero Stepway,2021,952 000 ₽,1
Lada,Vesta,2021,781 900 ₽,1
Lada,Granta лифтбек,2021,550 500 ₽,1
Уаз,Патриот New,2021,898 900 ₽,1
Renault,Logan Stepway,2021,908 000 ₽,1
Renault,Sandero Stepway,2021,843 000 ₽,1
Renault,Duster NEW,2021,1 475 000 ₽,1
Kia,Sportage,2021,1 777 900 ₽,1
Kia,Sportage,2021,1 777 900 ₽,1
Hyundai,Tucson NEW,2021,2 147 000 ₽,1
Lada,Niva Travel,2021,797 900 ₽,1
Peugeot,3008 NEW,2021,2 379 000 ₽,1
Kia,Sportage,2021,1 777 900 ₽,1
Jeep,Grand Cherokee,2021,4 555 000 ₽,1
Hyundai,Santa Fe,2021,2 784 000 ₽,1
Уаз,Патриот New,2021,1 359 900 ₽,1
Уаз,Патриот New,2021,1 224 900 ₽,1
Уаз,Патриот New,2021,898 900 ₽,1
Suzuki,Vitara,2021,1 239 990 ₽,1
Kia,Seltos,2021,1 593 900 ₽,1
Lada,Niva,2020,713 000 ₽,1
Renault,Sandero Stepway,2021,843 000 ₽,1
Kia,Picanto,2021,924 900 ₽,1
Suzuki,Vitara,2021,1 239 990 ₽,1
Kia,Soul,2021,1 279 900 ₽,1
Renault,Duster NEW,2021,1 359 000 ₽,1
Kia,Soul,2021,1 434 900 ₽,1
Suzuki,SX4,2021,1 359 990 ₽,1
Renault,Logan Stepway,2021,813 000 ₽,1
