brand_model,price,year
LADA XRAY Cross,745 900 ₽,2021
RENAULT Logan Stepway,927 000 ₽,2021
LADA Niva,707 000 ₽,2020
RENAULT Logan Stepway,813 000 ₽,2021
Kia Seltos,1 581 900 ₽,2021
Kia K5,1 752 900 ₽,2021
УАЗ Патриот New,858 000 ₽,2021
CITROEN C5 Aircross,2 524 000 ₽,2021
SUZUKI Vitara,1 239 990 ₽,2021
HYUNDAI Santa Fe,2 802 000 ₽,2021
Kia Soul,1 469 900 ₽,2021
LADA Granta,630 800 ₽,2021
Kia Sportage,1 692 900 ₽,2021
Jeep Grand Cherokee,4 235 000 ₽,2021
RENAULT Arkana,1 407 000 ₽,2021
SUZUKI SX4,1 359 990 ₽,2021
LADA Niva Travel,685 900 ₽,2021
Kia Rio X,1 075 900 ₽,2021
Kia Seltos,1 581 900 ₽,2021
Kia K5,2 394 900 ₽,2021
LADA Niva Travel,806 900 ₽,2021
УАЗ Комби (3909),780 000 ₽,2021
RENAULT Sandero Stepway,843 000 ₽,2021
Kia Seltos,1 541 900 ₽,2021
Kia Cerato,1 427 900 ₽,2021
RENAULT Duster NEW,1 365 000 ₽,2021
Kia Carnival,3 349 900 ₽,2021
Kia Rio X,1 094 900 ₽,2021
MITSUBISHI ASX NEW,1 351 000 ₽,2021
Kia Sportage,1 692 900 ₽,2021
УАЗ Патриот New,1 319 000 ₽,2021
SUZUKI Vitara,1 239 990 ₽,2021
УАЗ Патриот New,1 264 000 ₽,2021
Kia Ceed SW,1 584 900 ₽,2021
SUZUKI Jimny,1 919 990 ₽,2021
HYUNDAI H-1,2 649 000 ₽,2021
SUZUKI Vitara,1 239 990 ₽,2021
УАЗ Патриот New,1 224 900 ₽,2021
УАЗ Патриот New,1 224 900 ₽,2021
Kia Rio X,1 184 900 ₽,2021
Kia Cerato,1 650 900 ₽,2021
Kia XCeed,1 934 900 ₽,2021
SUZUKI Jimny,1 785 990 ₽,2021
HYUNDAI Creta,1 302 000 ₽,2021
LADA XRAY Cross,733 900 ₽,2021
RENAULT Kaptur,1 248 000 ₽,2021
Kia Rio X,1 129 900 ₽,2021
Jeep Grand Cherokee,4 305 000 ₽,2021
LADA XRAY Cross,745 900 ₽,2021
SUZUKI Vitara,1 589 990 ₽,2021
Kia Rio NEW,1 270 900 ₽,2021
RENAULT Logan Stepway,803 000 ₽,2021
CITROEN C5 Aircross,2 952 000 ₽,2021
RENAULT Arkana,1 376 000 ₽,2021
Kia Cerato,1 400 900 ₽,2021
LADA Granta универсал,509 500 ₽,2021
LADA Vesta SW,890 900 ₽,2021
УАЗ Патриот New,1 224 900 ₽,2021
SUZUKI Vitara,1 239 990 ₽,2021
Kia Cerato,1 385 900 ₽,2021
RENAULT Duster NEW,1 475 000 ₽,2021
RENAULT Sandero Stepway,952 000 ₽,2021
LADA Vesta,781 900 ₽,2021
LADA Granta лифтбек,550 500 ₽,2021
УАЗ Патриот New,898 900 ₽,2021
RENAULT Logan Stepway,908 000 ₽,2021
RENAULT Sandero Stepway,843 000 ₽,2021
RENAULT Duster NEW,1 475 000 ₽,2021
Kia Sportage,1 777 900 ₽,2021
Kia Sportage,1 777 900 ₽,2021
HYUNDAI Tucson NEW,2 147 000 ₽,2021
LADA Niva Travel,797 900 ₽,2021
PEUGEOT 3008 NEW,2 379 000 ₽,2021
Kia Sportage,1 777 900 ₽,2021
Jeep Grand Cherokee,4 555 000 ₽,2021
HYUNDAI Santa Fe,2 784 000 ₽,2021
УАЗ Патриот New,1 359 900 ₽,2021
УАЗ Патриот New,1 224 900 ₽,2021
УАЗ Патриот New,898 900 ₽,2021
SUZUKI Vitara,1 239 990 ₽,2021
Kia Seltos,1 593 900 ₽,2021
LADA Niva,713 000 ₽,2020
RENAULT Sandero Stepway,843 000 ₽,2021
Kia Picanto,924 900 ₽,2021
SUZUKI Vitara,1 239 990 ₽,2021
Kia Soul,1 279 900 ₽,2021
RENAULT Duster NEW,1 359 000 ₽,2021
Kia Soul,1 434 900 ₽,2021
SUZUKI SX4,1 359 990 ₽,2021
RENAULT Logan Stepway,813 000 ₽,2021
УАЗ Автобус (2206),840 000 ₽,2021
RENAULT Duster NEW,1 365 000 ₽,2021
PEUGEOT Expert,1 706 900 ₽,2021
HYUNDAI Solaris NEW,916 000 ₽,2021
SUZUKI Vitara,1 239 990 ₽,2021
RENAULT Duster NEW,1 385 000 ₽,2021
RENAULT Sandero Stepway,842 000 ₽,2021
УАЗ Патриот New,1 224 900 ₽,2021
УАЗ Патриот New,1 119 900 ₽,2021
RENAULT Duster NEW,1 395 000 ₽,2021
HYUNDAI Solaris NEW,901 000 ₽,2021
LADA XRAY,642 900 ₽,2021
УАЗ Патриот New,1 224 900 ₽,2021
УАЗ Патриот New,1 224 900 ₽,2021
Kia Rio X,1 324 900 ₽,2021
RENAULT Sandero Stepway,843 000 ₽,2021
RENAULT Duster NEW,1 245 000 ₽,2021
CITROEN SpaceTourer,2 519 900 ₽,2021
УАЗ Автобус (2206),880 900 ₽,2021
CITROEN C5 Aircross,2 429 000 ₽,2021
Kia K5,2 132 900 ₽,2021
RENAULT Sandero Stepway,843 000 ₽,2021
Kia Ceed SW,1 524 900 ₽,2021
SUZUKI Vitara,1 239 990 ₽,2021
LADA Granta,552 900 ₽,2021
RENAULT Duster NEW,1 149 000 ₽,2021
CITROEN C5 Aircross,2 444 000 ₽,2021
RENAULT Logan Stepway,813 000 ₽,2021
CITROEN Jumpy,1 706 900 ₽,2021
RENAULT Duster NEW,1 405 000 ₽,2021
RENAULT Sandero Stepway,952 000 ₽,2021
Kia Rio NEW,1 069 900 ₽,2021
CITROEN Berlingo Multispace,1 229 000 ₽,2021
Kia Sportage,1 867 900 ₽,2021
HYUNDAI Santa Fe,2 892 000 ₽,2021
RENAULT Sandero Stepway,952 000 ₽,2021
RENAULT Kaptur,1 429 000 ₽,2021
LADA Vesta,790 900 ₽,2021
SUZUKI Vitara,1 545 990 ₽,2021
HYUNDAI Creta,1 452 000 ₽,2021
УАЗ Патриот New,898 900 ₽,2021
LADA Vesta,781 900 ₽,2021
Kia Ceed SW,1 584 900 ₽,2021
PEUGEOT 3008 NEW,2 444 000 ₽,2021
HYUNDAI Solaris NEW,1 044 000 ₽,2021
RENAULT Kaptur,1 232 000 ₽,2021
RENAULT Sandero Stepway,843 000 ₽,2021
Kia Rio X,1 135 900 ₽,2021
RENAULT Sandero Stepway,843 000 ₽,2021
RENAULT Logan,790 000 ₽,2021
HYUNDAI Santa Fe,2 892 000 ₽,2021
Kia Rio NEW,1 009 900 ₽,2021
Jeep Grand Cherokee,4 685 000 ₽,2021
RENAULT Logan,793 000 ₽,2021
Kia Ceed SW,1 669 900 ₽,2021
УАЗ Автобус (2206),880 900 ₽,2021
Kia Cerato,1 455 900 ₽,2021
LADA XRAY Cross,733 900 ₽,2021
УАЗ Комби (3909),780 000 ₽,2021
УАЗ Патриот New,1 119 900 ₽,2021
RENAULT Duster NEW,1 375 000 ₽,2021
Jeep Grand Cherokee,4 485 000 ₽,2021
LADA ВИС 275100 фургон,882 900 ₽,2021
Kia K5,1 752 900 ₽,2021
Kia Cerato,1 427 900 ₽,2021
SUZUKI Vitara,1 239 990 ₽,2021
RENAULT Logan Stepway,893 000 ₽,2021
УАЗ Хантер,844 500 ₽,2021
УАЗ Патриот New,1 119 900 ₽,2021
LADA Vesta SW,757 900 ₽,2021
RENAULT Kaptur,1 543 000 ₽,2021
Kia Picanto,994 900 ₽,2021
LADA XRAY Cross,745 900 ₽,2021
SUZUKI SX4,1 359 990 ₽,2021
SUZUKI Vitara,1 239 990 ₽,2021
Kia Seltos,1 673 900 ₽,2021
Kia Ceed SW,1 584 900 ₽,2021
LADA Granta универсал,700 800 ₽,2021
PEUGEOT Expert Profi,2 301 900 ₽,2021
Jeep Grand Cherokee,4 305 000 ₽,2021
Kia Seltos,1 671 900 ₽,2021
Kia Sportage,1 827 900 ₽,2021
MITSUBISHI Outlander,1 940 000 ₽,2021
Kia Soul,1 399 900 ₽,2021
HYUNDAI Solaris NEW,971 000 ₽,2021
Kia Cerato,1 385 900 ₽,2021
LADA Granta лифтбек,550 500 ₽,2021
SUZUKI Vitara,1 605 990 ₽,2021
LADA Granta лифтбек,559 500 ₽,2021
RENAULT Sandero Stepway,843 000 ₽,2021
RENAULT Duster NEW,1 325 000 ₽,2021
Kia Soul,1 279 900 ₽,2021
PEUGEOT Traveller,2 379 900 ₽,2021
УАЗ Патриот New,1 224 900 ₽,2021
Jeep Grand Cherokee,4 685 000 ₽,2021
RENAULT Sandero Stepway,916 000 ₽,2021
УАЗ Патриот New,1 065 000 ₽,2021
SUZUKI Vitara,1 239 990 ₽,2021
MITSUBISHI ASX NEW,1 354 000 ₽,2021
LADA Granta,630 800 ₽,2021
SUZUKI Vitara,1 529 990 ₽,2021
Kia Rio X,1 094 900 ₽,2021
Kia Sportage,1 737 900 ₽,2021
HYUNDAI Sonata,1 877 000 ₽,2021
УАЗ Патриот New,1 389 900 ₽,2021
Kia Sportage,2 097 900 ₽,2021
MITSUBISHI ASX NEW,1 354 000 ₽,2021
RENAULT Duster NEW,1 375 000 ₽,2021
УАЗ Патриот New,1 224 900 ₽,2021
УАЗ Патриот New,1 224 900 ₽,2021
LADA Vesta SW,809 900 ₽,2021
УАЗ Патриот New,1 119 900 ₽,2021
Jeep Grand Cherokee,4 555 000 ₽,2021
LADA Granta универсал,535 500 ₽,2021
CITROEN Jumpy Profi,2 724 900 ₽,2021
Kia Rio NEW,1 034 900 ₽,2021
SUZUKI SX4,1 359 990 ₽,2021
Kia Ceed SW,1 524 900 ₽,2021
HYUNDAI Creta,1 292 000 ₽,2021
RENAULT Duster NEW,1 400 000 ₽,2021
УАЗ Патриот New,898 900 ₽,2021
LADA Niva Travel,685 900 ₽,2021
Cheryexeed TXL,2 249 900 ₽,2021
Kia Cerato,1 427 900 ₽,2021
Kia Rio X,1 100 900 ₽,2021
PEUGEOT Traveller,2 419 900 ₽,2021
LADA Granta лифтбек,572 900 ₽,2021
CITROEN SpaceTourer,3 159 900 ₽,2021
CITROEN Jumpy,1 706 900 ₽,2021
RENAULT Duster NEW,1 253 000 ₽,2021
УАЗ Патриот New,898 900 ₽,2021
Kia Cerato,1 427 900 ₽,2021
Kia K5,2 132 900 ₽,2021
RENAULT Logan Stepway,822 000 ₽,2021
HYUNDAI Tucson NEW,2 132 000 ₽,2021
УАЗ Патриот New,1 224 900 ₽,2021
CHERY Tiggo 7 Pro,1 519 900 ₽,2021
LADA XRAY Cross,745 900 ₽,2021
RENAULT Sandero Stepway,843 000 ₽,2021
SUZUKI Vitara,1 239 990 ₽,2021
