area_sqm,price,region
39.5,5038000,"Краснодарский край, Новороссийск"
76.0,5300000,"Красноярский край, Красноярск"
39.0,4946000,"Краснодарский край, Новороссийск"
39.0,5383000,"Краснодарский край, Новороссийск"
59.8,6687000,"Краснодарский край, Новороссийск"
39.0,4993000,"Краснодарский край, Новороссийск"
59.8,6687000,"Краснодарский край, Новороссийск"
39.0,5051000,"Краснодарский край, Новороссийск"
65.8,7117000,"Краснодарский край, Новороссийск"
65.8,7117000,"Краснодарский край, Новороссийск"
39.0,5306000,"Краснодарский край, Новороссийск"
45.5,5770000,"Краснодарский край, Новороссийск"
39.0,5012000,"Краснодарский край, Новороссийск"
43.4,5706000,"Краснодарский край, Новороссийск"
64.0,6892000,"Краснодарский край, Новороссийск"
39.0,5271000,"Краснодарский край, Новороссийск"
42.8,2750000,
21.3,3315000,
38.3,5285400,
39.0,5271000,"Краснодарский край, Новороссийск"
25.1,3947330,"Краснодарский край, Новороссийск"
59.8,6687000,"Краснодарский край, Новороссийск"
30.7,4041873,
23.4,4364100,
37.7,5536458,
39.0,4993000,"Краснодарский край, Новороссийск"
43.4,5727000,"Краснодарский край, Новороссийск"
39.0,4946000,"Краснодарский край, Новороссийск"
39.0,5251000,"Краснодарский край, Новороссийск"
64.0,7092000,"Краснодарский край, Новороссийск"
39.0,5020000,"Краснодарский край, Новороссийск"
39.2,5103000,"Краснодарский край, Новороссийск"
39.0,4950000,"Краснодарский край, Новороссийск"
39.0,5306000,"Краснодарский край, Новороссийск"
45.5,5970000,"Краснодарский край, Новороссийск"
25.1,3935330,"Краснодарский край, Новороссийск"
39.0,5071000,"Краснодарский край, Новороссийск"
39.0,5071000,"Краснодарский край, Новороссийск"
39.0,5106000,"Краснодарский край, Новороссийск"
43.4,5579000,"Краснодарский край, Новороссийск"
39.0,5306000,"Краснодарский край, Новороссийск"
65.6,7270000,"Краснодарский край, Новороссийск"
25.4,3839000,"Краснодарский край, Новороссийск"
25.1,3935330,"Краснодарский край, Новороссийск"
88.4,8183000,"Краснодарский край, Новороссийск"
39.0,5251000,"Краснодарский край, Новороссийск"
89.8,7718000,"Краснодарский край, Новороссийск"
39.0,5364000,"Краснодарский край, Новороссийск"
45.5,5970000,"Краснодарский край, Новороссийск"
88.4,7583000,"Краснодарский край, Новороссийск"
65.6,7070000,"Краснодарский край, Новороссийск"
59.8,7226000,"Краснодарский край, Новороссийск"
39.0,5193000,"Краснодарский край, Новороссийск"
65.8,7534000,"Краснодарский край, Новороссийск"
39.0,5067000,"Краснодарский край, Новороссийск"
39.0,5071000,"Краснодарский край, Новороссийск"
45.5,5770000,"Краснодарский край, Новороссийск"
39.0,4993000,"Краснодарский край, Новороссийск"
39.0,5212000,"Краснодарский край, Новороссийск"
25.1,3935330,"Краснодарский край, Новороссийск"
39.0,5212000,"Краснодарский край, Новороссийск"
39.0,5193000,"Краснодарский край, Новороссийск"
88.4,8271000,"Краснодарский край, Новороссийск"
39.0,5028000,"Краснодарский край, Новороссийск"
60.6,6854000,"Краснодарский край, Новороссийск"
89.8,7745000,"Краснодарский край, Новороссийск"
25.1,3935330,"Краснодарский край, Новороссийск"
39.0,5086000,"Краснодарский край, Новороссийск"
39.0,5212000,"Краснодарский край, Новороссийск"
32.8,4817000,"Краснодарский край, Новороссийск"
60.6,6654000,"Краснодарский край, Новороссийск"
39.0,5059000,"Краснодарский край, Новороссийск"
64.4,12300400,
52.2,9187200,
35.2,4294400,
39.0,4993000,"Краснодарский край, Новороссийск"
39.0,5364000,"Краснодарский край, Новороссийск"
25.1,3905330,"Краснодарский край, Новороссийск"
26.0,3485098,
112.0,6500000,
34.7,4435200,
39.0,5125000,"Краснодарский край, Новороссийск"
60.6,6854000,"Краснодарский край, Новороссийск"
39.0,5306000,"Краснодарский край, Новороссийск"
59.8,6687000,"Краснодарский край, Новороссийск"
39.0,5212000,"Краснодарский край, Новороссийск"
60.6,6678000,"Краснодарский край, Новороссийск"
63.2,6963000,"Краснодарский край, Новороссийск"
43.4,5706000,"Краснодарский край, Новороссийск"
39.0,4961000,"Краснодарский край, Новороссийск"
70.1,7761000,"Краснодарский край, Новороссийск"
88.4,8139000,"Краснодарский край, Новороссийск"
39.5,5153000,"Краснодарский край, Новороссийск"
59.8,6976000,"Краснодарский край, Новороссийск"
39.5,5038000,"Краснодарский край, Новороссийск"
45.5,5970000,"Краснодарский край, Новороссийск"
39.0,4961000,"Краснодарский край, Новороссийск"
39.0,5212000,"Краснодарский край, Новороссийск"
43.4,5836000,"Краснодарский край, Новороссийск"
64.6,6899000,"Краснодарский край, Новороссийск"
88.4,8183000,"Краснодарский край, Новороссийск"
39.0,4993000,"Краснодарский край, Новороссийск"
39.0,5193000,"Краснодарский край, Новороссийск"
