area_sqm,price,region
35.4,4500000,"Московская область, Балашиха"
52.0,8066000,Москва
76.4,5900000,"Самарская область, Самара"
44.8,5871420,"Ленинградская область, Мурино"
56.6,12900000,Санкт-Петербург
88.0,3250000,"Вологодская область, Вологда"
47.4,1550000,"Дагестан, Каспийск"
39.4,4839288,"Ленинградская область, Мурино"
36.0,4857300,"Ленинградская область, Кудрово"
91.7,5200000,"Республика Дагестан, Махачкала"
72.0,10195000,Санкт-Петербург
30.9,4815720,"Ленинградская область, Мурино"
60.0,3450000,"Ставропольский край, Ставрополь"
34.3,3040000,"Ленинградская область, Дубровка"
33.3,6010650,Санкт-Петербург
35.9,5163840,"Ленинградская область, Кудрово"
33.0,2500000,"Республика Калмыкия, Элиста"
39.9,3750000,"Калининградская область, Калининград"
39.0,5263650,"Ленинградская область, Мурино"
32.7,4189440,"Ленинградская область, Мурино"
36.1,6534100,Санкт-Петербург
51.7,8039350,Санкт-Петербург
28.0,3333000,"Крым, Севастополь"
36.9,6549750,Санкт-Петербург
39.9,5988474,
41.4,6141408,
39.0,6554000,
39.5,4676010,"Ленинградская область, Мурино"
27.8,1790000,"Ленинградская область, Романовка"
82.0,7700000,"Краснодарский край, Краснодар"
54.9,5872160,
35.3,4900258,
29.6,3693750,
38.5,4425200,"Ленинградская область, Мурино"
34.3,6534150,Санкт-Петербург
91.0,3100000,"Дагестан, Каспийск"
60.0,3000000,"Краснодарский край, Темрюкский р-н, Новотаманское сельское поселение, пос. Таманский"
35.5,4725490,"Ленинградская область, Мурино"
118.0,18937600,Санкт-Петербург
33.1,5842150,Санкт-Петербург
87.0,5400000,"Алтайский край, Барнаул"
36.0,4791990,"Ленинградская область, Мурино"
37.4,4336080,"Ленинградская область, Мурино"
25.1,5650000,Санкт-Петербург
90.0,2750000,"Республика Дагестан, Махачкала"
41.4,6141408,Санкт-Петербург
52.0,6390000,"Московская область, Развилка"
67.4,8949288,Санкт-Петербург
34.9,4478225,"Ленинградская область, Мурино"
31.9,4354350,Санкт-Петербург
81.9,23000000,Москва
34.2,4870000,"Калининградская область, Калининград"
62.0,3192200,"Воронежская область, Воронеж"
